codigo,nombre,categoria,id_proveedor,proveedor,precio_venta,unidad,pendiente_revision
MIS-0062,Vela aromática Mediano,Miscelánea,PRV-019,Importadora San Martín,,Unidad,precio faltante
PAN-0063,Galleta de avena Grande,Panadería,PRV-028,Soluciones del Norte,104697,Unidad,
ABA-0064,Atún Premium,Abarrotes,PRV-001,Distribuciones Andina,112616,Paquete,
PAP-0065,Resma de papel Mini,Papelería,PRV-010,Alianza Nueva Granada,120535,Paquete,
FER-0066,Martillo Clásico,Ferretería,PRV-019,Importadora San Martín,128000,Unidad,precio aproximado (X mil)
MIS-0067,Vela aromática Mediano,Miscelánea,PRV-028,Soluciones del Norte,136373,Unidad,
PAN-0068,Galleta de avena Grande,Panadería,,Distribuciones Andina,144292,Unidad,id_proveedor faltante
ABA-0069,Atún Premium,Abarrotes,PRV-010,Alianza Nueva Granada,152211,Unidad,
PAP-0070,Resma de papel Mini,Papelería,PRV-019,Importadora San Martín,160130,Paquete,
FER-0071,Martillo Clásico,Ferretería,PRV-028,Soluciones del Norte,168049,Paquete,
MIS-0072,Vela aromática Mediano,Miscelánea,PRV-001,Distribuciones Andina,175968,Unidad,
PAN-0073,Galleta de avena Grande,Panadería,PRV-010,Alianza Nueva Granada,183887,Unidad,
ABA-0074,Atún Premium,Abarrotes,PRV-019,Importadora San Martín,191806,Unidad,
PAP-0075,Resma de papel Mini,Papelería,PRV-028,Soluciones del Norte,199725,Unidad,
FER-0076,Martillo Clásico,Ferretería,PRV-001,Distribuciones Andina,9644,Paquete,
MIS-0077,Vela aromática Mediano,Miscelánea,PRV-010,Alianza Nueva Granada,17563,Paquete,
PAN-0078,Galleta de avena Grande,Panadería,PRV-019,Importadora San Martín,25482,Unidad,
ABA-0079,Atún Premium,Abarrotes,PRV-028,Soluciones del Norte,33401,Unidad,
PAP-0080,Resma de papel Mini,Papelería,PRV-001,Distribuciones Andina,41320,Unidad,
FER-0081,Martillo Clásico,Ferretería,PRV-010,Alianza Nueva Granada,49239,Unidad,
MIS-0082,Vela aromática Mediano,Miscelánea,PRV-019,Importadora San Martín,57158,Paquete,
PAN-0083,Galleta de avena Grande,Panadería,PRV-028,Soluciones del Norte,65077,Paquete,
ABA-0084,Atún Premium,Abarrotes,PRV-001,Distribuciones Andina,72996,Unidad,
PAP-0085,Resma de papel Mini,Papelería,,Alianza Nueva Granada,80915,Unidad,id_proveedor faltante
FER-0086,Martillo Clásico,Ferretería,PRV-019,Importadora San Martín,88834,Unidad,
MIS-0087,Vela aromática Mediano,Miscelánea,PRV-028,Soluciones del Norte,96753,Unidad,
PAN-0088,Galleta de avena Grande,Panadería,PRV-001,Distribuciones Andina,105000,Paquete,precio aproximado (X mil)
ABA-0089,Atún Premium,Abarrotes,PRV-010,Alianza Nueva Granada,112591,Paquete,
PAP-0090,Resma de papel Mini,Papelería,PRV-019,Importadora San Martín,120510,Unidad,
ABA-0009,Atún Premium,Abarrotes,PRV-010,Alianza Nueva Granada,78071,Unidad,precio en conflicto entre líneas 10 y 97: 73071 vs 78071
MIS-0027,Vela aromática Mediano,Miscelánea,PRV-028,Soluciones del Norte,22613,Unidad,precio en conflicto entre líneas 28 y 98: 17613 vs 22613
PAP-0055,Resma de papel Mini,Papelería,PRV-028,Soluciones del Norte,46345,Unidad,precio en conflicto entre líneas 56 y 99: 41345 vs 46345
,Producto sin código,Ferretería,PRV-007,Productos La Montaña,35000,Unidad,código faltante
PAP-0099,,Papelería,,Papelería Central,12500,Unidad,id_proveedor faltante; nombre faltante
